表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
新莊區,海山里,1675,1346085,804,562,339,994,914.81,113.83
,全安里,1383,1226957,887,608,353,1073,1357.04,152.96
,文衡里,664,588320,886,627,359,1090,854.56,96.45
,興漢里,1144,1021901,893,581,347,1004,2018.42,225.96
,榮和里,933,852332,914,528,313,943,3832.38,419.51
,文德里,535,471890,882,631,368,1130,858.86,97.37
,文明里,545,568967,1044,637,363,1163,1848.72,177.08
,中港里,2016,1797203,891,585,358,1057,1429.60,160.36
,頭前里,2193,2553869,1165,676,368,1274,2690.74,231.05
,丹鳳里,2354,1705048,724,551,347,893,787.63,108.74
,西盛里,3393,2778564,819,595,366,1006,899.36,109.82
,瓊林里,1663,1234206,742,546,332,918,745.38,100.43
,營盤里,813,652812,803,534,285,955,1087.68,135.46
,後港里,2239,1675501,748,553,334,941,681.49,91.07
,國泰里,494,376334,762,517,303,833,1264.50,165.99
,立人里,740,793357,1072,681,373,1296,1319.24,123.05
,恆安里,1345,1182442,879,607,362,1095,945.93,107.60
,思源里,1658,1352175,816,586,355,973,905.82,111.07
,化成里,1162,959431,826,557,333,941,943.32,114.25
,福基里,1353,1397898,1033,658,360,1264,1281.34,124.02
,思賢里,1299,1060018,816,595,364,1020,770.65,94.44
,中美里,1664,1335208,802,575,353,962,797.86,99.43
,中和里,1409,1100726,781,548,330,895,842.42,107.84
,中泰里,1219,840237,689,517,335,872,666.24,96.66
,立言里,1695,1398759,825,582,356,1029,781.89,94.75
,立功里,999,662351,663,520,336,829,566.35,85.42
,立德里,837,811810,970,648,363,1146,1430.74,147.51
,豐年里,1116,810755,726,528,333,874,940.92,129.52
,忠孝里,1519,1211221,797,567,346,983,771.70,96.78
,立志里,1151,914221,794,555,359,911,977.80,123.10
,中誠里,672,800168,1191,533,330,915,7163.48,601.61
,自立里,1485,1108829,747,544,335,907,865.09,115.86
,自強里,644,390625,607,483,313,714,496.76,81.90
,幸福里,1249,774626,620,501,323,778,480.29,77.44
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
仁愛里,,757,475587,628,499,333,781,490.43,78.06
信義里,,1618,1218135,753,539,348,903,773.66,102.76
龍鳳里,,2702,2517203,932,668,400,1184,1037.20,111.33
民安里,,1773,1367367,771,571,356,970,706.40,91.60
光華里,,2072,1540567,744,555,354,901,838.03,112.71
富國里,,733,474279,647,528,317,811,503.04,77.74
裕民里,,1920,1367738,712,527,332,873,837.36,117.55
南港里,,1653,1175376,711,554,343,871,624.20,87.78
萬安里,,1199,794667,663,523,336,801,678.58,102.38
八德里,,917,607732,663,516,340,799,578.89,87.35
民本里,,859,520125,606,496,336,744,452.56,74.74
光榮里,,1265,907638,718,550,339,901,611.95,85.29
光明里,,1291,893452,692,533,331,856,662.04,95.66
合鳳里,,1284,819874,639,504,330,779,608.64,95.32
雙鳳里,,3329,3113691,935,677,388,1139,1090.12,116.55
和平里,,1545,1093929,708,529,346,862,629.53,88.91
自信里,,736,604325,821,583,351,976,899.64,109.57
全泰里,,1772,1626761,918,622,372,1131,1348.11,146.85
立泰里,,1597,1274155,798,571,352,1010,911.42,114.24
立基里,,2067,2047217,990,625,367,1189,1540.47,155.54
中宏里,,1150,952510,828,594,379,999,824.04,99.49
中全里,,1054,730727,693,505,328,801,923.78,133.25
中華里,,844,796590,944,647,379,1177,916.89,97.15
中隆里,,1360,1305114,960,646,372,1135,1366.91,142.44
中原里,,2930,2654598,906,626,367,1079,1127.91,124.49
中信里,,2628,2227435,848,598,375,1036,870.52,102.71
仁義里,,1062,677381,638,510,315,813,523.24,82.03
建福里,,875,554679,634,495,337,789,515.75,81.36
四維里,,1264,835282,661,530,345,815,557.64,84.39
文聖里,,1263,1101124,872,622,371,1060,907.17,104.05
福營里,,861,656088,762,522,311,903,927.80,121.76
後德里,,1054,974629,925,580,353,1057,1766.26,191.01
建安里,,2060,1608400,781,586,350,1005,670.69,85.90
龍安里,,695,464074,668,521,338,820,571.51,85.59
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,昌平里,1617,1695170,1048,718,412,1251,1229.18,117.25
,昌明里,1105,903398,818,543,348,1018,912.79,111.65
,成德里,1447,994838,688,530,336,835,604.81,87.97
,福興里,1768,1493521,845,583,353,1022,1068.23,126.45
,昌信里,1124,1083284,964,683,391,1167,1087.84,112.87
,昌隆里,1402,1290189,920,648,373,1157,910.93,98.99
,中平里,2664,2763749,1037,718,431,1303,1554.90,149.88
,立廷里,3554,4053712,1141,830,455,1462,1238.23,108.56
,泰豐里,689,537587,780,573,358,981,728.96,93.43
,富民里,1082,755995,699,549,329,893,579.71,82.97
,龍福里,652,495364,760,597,363,999,576.73,75.91
,祥鳳里,676,506687,750,560,352,971,644.24,85.95
,民全里,1137,891637,784,597,367,936,783.65,99.93
,民有里,1178,849451,721,549,353,936,581.44,80.63
,光正里,1257,972963,774,570,355,943,766.27,99.00
,光和里,768,466494,607,495,324,776,426.89,70.28
,其 他,4,1362,341,338,245,434,122.35,35.92
,合 計,117573,97488697,829,581,354,999,1218.46,146.95
林口區,東林里,1291,961795,745,541,345,860,872.22,117.08
,林口里,1549,1215921,785,575,337,979,779.63,99.32
,西林里,2695,3152094,1170,724,400,1415,1803.17,154.17
,湖北里,420,346760,826,590,371,1034,741.34,89.79
,菁湖里,1447,1607838,1111,674,359,1287,1631.43,146.82
,湖南里,5858,7088271,1210,852,468,1496,1442.83,119.24
,南勢里,5324,7413072,1392,973,504,1752,1720.23,123.55
,頂福里,301,220999,734,525,336,837,912.79,124.32
,下福里,391,297157,760,525,336,916,982.04,129.22
,嘉寶里,233,174509,749,552,323,883,758.60,101.29
,瑞平里,203,142452,702,535,360,827,734.83,104.72
,太平里,396,261871,661,529,327,827,557.69,84.33
,中湖里,1028,934900,909,612,371,1073,1535.31,168.82
,東勢里,1864,1889377,1014,649,371,1247,1371.12,135.27
,仁愛里,2074,2704928,1304,834,442,1645,2024.66,155.24
,麗林里,2542,3051662,1200,847,474,1556,1254.37,104.49
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,麗園里,1220,1285514,1054,621,371,1174,2012.96,191.04
,其 他,0,0,0,0,0,0,0.00,0.00
,合 計,28836,32749121,1136,745,411,1393,1538.98,135.51
五股區,興珍里,1641,1567225,955,517,312,881,4443.50,465.27
,更寮里,343,221117,645,501,287,774,603.28,93.58
,集福里,1022,718488,703,548,326,877,643.31,91.51
,觀音里,292,197115,675,518,324,829,611.25,90.55
,成州里,1432,945284,660,507,317,828,586.24,88.81
,五股里,1124,840376,748,524,329,845,874.60,116.98
,五龍里,389,273143,702,475,279,819,836.51,119.13
,德音里,1558,2440467,1566,636,367,1131,11169.16,713.04
,貿商里,770,610131,792,605,349,1027,701.94,88.59
,陸一里,478,354439,742,568,339,904,742.53,100.14
,成功里,1499,1023595,683,517,325,823,735.36,107.69
,五福里,1043,665166,638,494,316,783,594.92,93.29
,成德里,728,478079,657,509,332,786,660.42,100.57
,德泰里,1242,1854866,1493,607,366,982,19460.15,1303.03
,六福里,1062,748136,704,540,353,854,593.96,84.31
,集賢里,987,636598,645,513,328,797,549.59,85.21
,民義里,910,724426,796,551,350,913,1165.18,146.37
,成泰里,1739,1362961,784,575,355,944,844.73,107.78
,水碓里,2213,1743428,788,555,351,926,1178.06,149.54
,福德里,864,629068,728,571,353,938,554.76,76.19
,其 他,1,1201,1201,1201,1201,1201,0.00,0.00
,合 計,21337,18035311,845,544,336,893,5765.16,682.06
蘆洲區,樓厝里,1813,1501442,828,587,362,1004,927.47,111.99
,保和里,739,540769,732,519,315,867,886.48,121.14
,得勝里,916,794399,867,511,333,852,2956.86,340.95
,仁復里,574,489855,853,578,319,994,1186.62,139.05
,溪墘里,913,670540,734,548,335,916,765.73,104.26
,中路里,1149,809950,705,555,337,898,592.65,84.07
,正義里,3587,4187945,1168,815,454,1517,1388.67,118.94
,水湳里,2954,2583075,874,602,360,1060,1470.64,168.18
,保佑里,1035,742686,718,528,321,872,819.69,114.23
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,樹德里,956,955179,999,560,337,937,5275.93,528.05
,中原里,1530,1205443,788,553,330,970,802.81,101.90
,恆德里,1807,1551194,858,612,366,1035,887.11,103.34
,光華里,1424,1128376,792,555,347,924,874.96,110.42
,鷺江里,1545,1465944,949,588,369,1038,1619.51,170.69
,南港里,1534,1128029,735,562,340,913,672.67,91.48
,永樂里,1664,1331046,800,563,350,967,1030.91,128.88
,永康里,1889,1444722,765,592,349,957,653.00,85.38
,信義里,1154,770177,667,525,336,790,700.82,105.01
,玉清里,1679,1505831,897,611,358,1082,1246.46,138.98
,復興里,977,653041,668,526,342,831,546.16,81.71
,水河里,2520,1906217,756,570,364,930,676.13,89.38
,仁愛里,1490,1134762,762,574,362,910,721.78,94.77
,忠義里,861,629899,732,548,345,885,811.98,110.99
,九芎里,1442,1023167,710,528,327,908,638.47,89.98
,中華里,943,718893,762,522,327,885,897.84,117.77
,得仁里,930,659684,709,518,328,845,664.70,93.71
,仁德里,1622,1262428,778,539,341,864,1136.35,146.00
,仁義里,1184,1021034,862,589,354,1016,897.03,104.02
,光明里,1323,1064686,805,582,364,962,995.76,123.73
,保新里,700,466590,667,517,334,809,593.86,89.09
,長安里,1296,938742,724,543,346,850,871.64,120.34
,民和里,770,541114,703,500,328,800,756.57,107.66
,忠孝里,721,537767,746,553,339,889,702.71,94.21
,福安里,920,704050,765,555,351,921,855.99,111.85
,永安里,1432,1085525,758,558,347,875,979.44,129.21
,延平里,1055,791542,750,569,352,941,670.93,89.42
,成功里,1982,1548280,781,562,346,940,792.86,101.50
,永德里,1218,892269,733,559,324,902,1332.10,181.84
,其 他,3,784,261,231,211,296,88.60,33.91
,合 計,52251,42387076,811,573,350,963,1268.27,156.34
三重區,二重里,471,283805,603,498,325,730,488.74,81.11
,五谷里,605,485375,802,603,355,904,857.32,106.86
,德厚里,107,74179,693,513,307,816,621.46,89.64
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
福祉里,,1776,1737694,978,648,363,1174,2018.73,206.32
過田里,,2058,1800349,875,594,357,1073,1262.40,144.31
溪美里,,2282,1798707,788,584,366,995,691.04,87.67
厚德里,,1040,904946,870,609,373,1049,949.70,109.14
慈化里,,703,494176,703,539,353,865,559.01,79.52
永安里,,1113,849601,763,568,338,962,730.16,95.65
六合里,,1048,718302,685,532,314,842,597.14,87.12
福利里,,722,721855,1000,647,364,1220,1344.44,134.47
永興里,,406,340627,839,601,360,1038,815.43,97.19
清和里,,1265,1212631,959,657,380,1242,947.05,98.79
仁德里,,553,400097,724,524,340,841,1010.04,139.60
開元里,,409,290729,711,537,353,853,832.61,117.13
大德里,,247,181550,735,557,376,926,598.70,81.45
錦通里,,413,250760,607,476,285,766,503.50,82.93
光華里,,581,471731,812,619,371,949,767.63,94.54
光榮里,,418,426441,1020,613,373,1146,3163.70,310.11
大園里,,707,531846,752,540,335,908,851.49,113.19
長生里,,253,188184,744,534,331,914,744.16,100.05
